width,height,count,proportion
1000,90,3463596.0,1.0
120,240,48133.0,0.2894643469266251
120,600,118150.0,0.710535653073375
125,125,471.0,1.0
160,600,742413.0,1.0
180,150,970.0,0.026571702506505958
180,600,35535.0,0.973428297493494
200,200,376085.0,1.0
234,60,1852.0,1.0
250,230,1704.0,0.002393863617206597
250,250,710116.0,0.9976061363827934
300,100,17256.0,0.0042909778311912014
300,250,4002224.0,0.9952164151287306
300,300,1525.0,0.000379215414497368
300,600,456.0,0.00011339162558085234
320,50,312437.0,1.0
336,280,1467163.0,1.0
360,300,24320.0,1.0
468,60,299511.0,1.0
620,60,31973.0,1.0
640,90,17295.0,1.0
728,90,2339061.0,1.0
760,90,2681.0,1.0
910,90,10125.0,1.0
950,90,691069.0,1.0
960,60,4183.0,0.006560827639858714
960,90,633389.0,0.9934391723601412
980,80,2419.0,0.05819800312763142
980,90,39146.0,0.9418019968723685
