date,bid_rows,imp_rows,win_rate
20130606,9586949,1821350,0.19
20130607,11132555,1805953,0.1622
20130608,5226937,1634830,0.3128
20130609,11880893,1651524,0.139
20130610,5610729,1920370,0.3423
20130611,5094845,1745722,0.3426
20130612,4756422,1657338,0.3484
20131019,352766,228133,0.6467
20131020,326830,214295,0.6557
20131021,1547653,848740,0.5484
20131022,1212083,695720,0.574
20131023,1578272,226785,0.1437
20131024,2184015,245897,0.1126
20131025,2230333,319681,0.1433
20131026,536934,268453,0.5
20131027,597857,110467,0.1848
20131028,890676,0,0.0
